Bureau,Function Name,Function Description ,Budget,Function Type,Civilian FTE,Sworn FTE,Labor Representation,,,,,,,,
Collaborative Policing,Crisis Intervention Response Unit,"This specialty unit is comprised of specially trained officers, partnered with contract mental health professionals, to assist individuals in mental health crises. The Crisis Response Team works to connect individuals in crisis to resources to help to address their physical and mental health needs and divert them from the criminal justice system. The unit also oversees SPD's Crisis Intervention Training (CIT) program, a 40-hour curriculum provided to all officers throughout the department. ",1912417,Sworn,0,9,SPMA and SPOG,,,,,,,,
Special Operations,Arson and Bomb Investigation Services,"This detective unit responds to explosives incidents or threats and fire incidents. They handle explosive devices, preserve crime scenes, and perform follow-up investigations.",2024711,Sworn,0,12,Seattle Police Management Association (SPMA) and Seattle Police Officers Guild (SPOG),,,,,,,,
Office of Emergency Management,Emergency Management Operations,"These are civilian units (also known as the Office of Emergency Management) that coordinate the City's efforts to prepare for, respond to, and recover from disasters and emergencies. The units staff the City's Emergency Operations Center when a major event occurs, maintain communications and technology infrastructures for emergency response, and engage in public education and technical assistance to communities, businesses and public sector agencies concerning disaster readiness and response. ",2029350,Civilian,11,0,Local 17,,,,,,,,
Criminal Investigations,High Risk Victims Investigation Services (incl. Internet Crimes Against Children),This detective unit conducts follow-up and proactive investigations into those involved in child pornography and exploitation. A special focus of the unit is on the use of the Internet to target children for vice activities.,2224888,Civilian/Sworn Co-Response,1,12,SPMA and SPOG,,,,,,,,
Criminal Investigations,Evidence Storage and Management Services,"These civilian units receive and store evidence, lost property, and items belonging to people who are arrested, maintains inventories of these items, and manages them according to legal requirements.",2322129,Civilian/Sworn Co-Response,13,5,SPOG and Teamsters L117,,,,,,,,
Professional Standards,"Audit, Policy and Research","This administrative unit is responsible for reviewing and revising policy, training and operations manuals; incorporating law and ordinance changes into department manuals; revising forms; drafting, editing and reviewing directives; and conducting scheduled and spot audits of operations. ",2416192,Civilian/Sworn Co-Response,1,10,"SPMA, SPOG, and Professional & Technical Employees, Local 17 - Administrative Support Unit (Local 17)",,,,,,,,
Collaborative Policing,Community Service Officers,"This civilian unit was re-launched to help residents and businesses with non-criminal calls and navigate services across City departments. In addition, CSOs engage with communities and neighborhoods and support programming for historically underserved youth. The CSOs speak nearly a dozen languages between them, have deep roots in the Seattle area and have a wide range of experiences working in social services, public safety and the community. ",2460271,Civilian,18,0,Teamsters Local 117 ,,,,,,,,
Collaborative Policing,Homelessness Outreach,"This specialty unit cooperates with other City entities on the Navigation Team–a specially trained team comprised of outreach workers paired with SPD personnel, to connect unsheltered people to housing and critical resources.",2607938,Civilian/Sworn Co-Response,1,15,SPMA and SPOG,,,,,,,,
Special Operations,Canine Enforcement Services,"This specialty unit maintains a group of well-trained dogs used to find missing people - including children, the elderly, people with special needs and the injured. These dogs can sniff out illegal electronics, to include thumb drives and computer storage drives containing child pornography. These dogs are also used to apprehend fleeing suspects and track down narcotics and other evidence. ",2836470,Sworn,0,16,SPOG,,,,,,,,
Criminal Investigations,Coordinated Criminal Investigations and Task Forces,"This detective unit collaborates with law enforcement partners on large-scale, cross-jursidictional investigations often involving the trafficking of contraband.",3047290,Civilian/Sworn Co-Response,2,15,SPMA and SPOG,,,,,,,,
Department-wide Functions,"Executive Support - Labor, Legal, Planning and Executive Admin","These civilians provide legal, labor relations, and policy/planning advice, and administrative support to the Chief of Police and Deputy Chiefs. Personnel in this category also receive, triage and respond to all public disclosure requests received by the department. ",3340911,Civlian,28,0,SPDG and Local 17,,,,,,,,
Criminal Investigations,Gang Unit,"This detective unit is charged with identifying gang members and intercepting their activities throughout the city, they also investigate a large number of firearms and assault crimes.",3417794,Sworn,0,18,SPOG,,,,,,,,
Criminal Investigations,Sexual Assault and Sex Offender Investigation Services,These detective units conduct follow-up investigations of adult and child sexual assaults and monitor sex offenders in the community as required by law. ,3421266,Civilian/Sworn Co-Response,1,19,"SPMA, SPOG, and Local 17",,,,,,,,
Collaborative Policing,Community Outreach Services,"This specialty unit creates and strengthens programs and communication efforts that build trust between police and the people of Seattle, especially those disproportionately affected by the criminal justice system. Members of this team host ""living room conversations"" and ""precinct picnics"" to bring patrol officers together with neighborhood residents to build relationships. Officers also focus on outreach to historically underserved youth through sports, chess, and events at community centers. Officers engage with families during the holidays; support community members returning from incarceration to provide a layer of stability for them and their families; provide immediate services to domestic violence survivors; and work with civilian crime prevention coordinators who provide guidance and tools to residents and business owners. ",3578101,Civilian/Sworn Co-Response,6,15,"SPMA, SPOG, and Local 17",,,,,,,,
Professional Standards,Force Review Units,These units include the Force Investigation Team (FIT) and Force Review Unit (FRU). These units ensure the comprehensive investigation and review of police uses of force in accordance with department policy and what has been mandated by the 2012 Consent Decree that came out of a settlement with the United States Department of Justice. ,3741095,Civilian/Sworn Co-Response,3,15,"SPMA, SPOG, and Local 17",,,,,,,,
Department-wide Functions,Department Leadership ,"Provides leadership and policy guidance and direction to all employees of the department. Includes all sworn ""chief"" and civilian ""director"" level positions. ",3960587,Civilian/Sworn Co-Response,6,7,None,,,,,,,,
Office of Police Accountability,Office of Police Accountability,"This independent office has authority over allegations of misconduct involving SPD employees. OPA investigates complaints and recommends findings to the Chief of Police. OPA is led by a civilian director and supervisors, while its investigations are carried out by SPD sergeants and civilian investigators. The OPA is one of three accountability pillars mandated under the federal Consent Decree. ",4413135,Civilian/Sworn Co-Response,17,9,SPOG and Local 17,,,,,,,,
Criminal Investigations,Criminal Intelligence Services,This detective unit supports the criminal investigations bureau by analyzing threats to determine whether they are real or not. This could include threats lodged before incidents of school or workplace violence; threats against public officials or business leaders; or threats issued against the public. It's a form of analytics to best plan a measured police response.,4595670,Civilian/Sworn Co-Response,1,25,SPMA and SPOG,,,,,,,,
Criminal Investigations,"Domestic Violence, Elder Abuse and Family Protection Investigation Services","These detective units conduct follow-up investigations of domestic violence, family violence and elder abuse cases; and officers charged with serving and protection orders and coordinating the service of domestic violence warrants and surrender of firearms.",4795865,Civilian/Sworn Co-Response,3,27,"SPMA, SPOG, and Local 17",,,,,,,,
Special Operations,Harbor Patrol Services,"This specialty patrol units are deployed 24/7 to provide waterborne law enforcement and routine patrol of the city's waterways. They are responsible for boating accident investigation and reporting, safekeeping evidence and found boats, public safety during marine events and water rescue. They support Fire Department personnel in marine firefighting situations.",5320714,Civilian/Sworn Co-Response,2,28,SPMA and SPOG,,,,,,,,
Criminal Investigations,Fingerprint Processing and Identification Services,"These civilian units take and process fingerprints of all people who are arrested and applicants for concealed weapons, licenses, and employment permits. The units also process crime scenes, then enter latent prints into databases to identify suspects, and submit information necessary to update criminal history records.",5345639,Civilian/Sworn Co-Response,32,1,SPMA and Local 17,,,,,,,,
Criminal Investigations,Criminal Investigations Admin,Detective pool,5368006,Sworn,0,51,SPOG,,,,,,,,
Special Operations,SWAT Services,"The SWAT teams are deployed 24/7 to provide specialized response to violent and volatile scenes, hostage situations and similar events that are dangerous to the community and responding officers. The teams also assist with serving high risk warrants and apprehending dangerous fugitives and suspects. The SWAT team is prevented by Seattle code to buy surplus military equipment.  ",5538068,Sworn,0,29,SPMA and SPOG,,,,,,,,
Criminal Investigations,Narcotics Investigation Services,"These detective units investigate large-scale, felony drug cases and drug distribution channels that have roots locally and internationally. These detectives look for patterns to crimes that impact daily life for residents and business owners by working closely with neighborhood Anti-Crime Team detectives. ",6554573,Civilian/Sworn Co-Response,2,34,"SPMA, SPOG, and Local 17",,,,,,,,
Patrol Operations,"Burglary, Theft and Juvenile Investigation Services",These detective units conduct follow-up investigations of property crimes cases and cases involving juveniles. They work closely with the King County Prosecuting Attorney's office and with diversion programs associated with the court. ,6892673,Civilian/Sworn Co-Response,4,31,SPOG and Local 17,,,,,,,,
Chief Operating Officer,Data Center and Records,"These civilian units document all crime incidents, and all actions taken by the department related to incidents, investigations, offenders, victims, and witnesses; that such information is entered into local, state and federal records systems; these records are maintained and accessible to employees, other agencies and the public in accordance with the law and privacy policies. The units also maintain records on suspended licenses, vehicle tows and follow-up actions.",6957791,Civilian,67,0,Local 17 and Teamsters Local 117,,,,,,,,
Chief Operating Officer,"Fiscal, Budget and Payroll Services","These civilian units are responsible for accounts payable and receivable, purchases, employee payroll processing, expenditure reporting, developing general fund budgets and for preparation of financial/analytical reports to command staff, Executive and Council.",7149987,Civilian,24,0,Local 17,,,,,,,,
Chief of Police - Human Resources,Employment and Personnel Services,"This unit is comprised of sworn and civilian personnel and provides all human resources functions to the department, including recruitment, background investigations, maintenance of employment records, interpretation and administration of collective bargaining agreements, and benefits administration. This section is also responsible for oversight of the department's performance review system.",8488187,Civilian/Sworn Co-Response,11,19,SPMA and SPOG,,,,,,,,
Criminal Investigations,Violent Crimes Investigation Services,"These detective units conduct investigations of homicide, assault, robbery, and bias crimes, as well as execute fugitive warrants. This includes Crime Scene Investigation detectives. ",10612231,Civilian/Sworn Co-Response,3,53,"SPMA, SPOG, and Local 17",,,,,,,,
Special Operations,Traffic Enforcement Services,"These specialty patrol units are deployed in cars and on motorcycles to provide traffic enforcement and prevent accidents by impaired drivers. They provide traffic control services for many special events, including sporting events but are not part of 911 call response.",12256474,Civilian/Sworn Co-Response,2,60,SPMA and SPOG,,,,,,,,
Metropolitan Services,Metropolitan Safety Services,"This sworn unit staff the Seattle Police Operations Center during large emergencies and coordinate staffing for citywide events (e.g. sports, festivals, fun runs). The overtime budget for citywide special events and sporting events is allocated here. Additionally, this function includes staff dedicated to assessing local vulnerabilities to man-made and natural disasters and designing responses to reduce those vulnerabilities.",12479591,Civilian/Sworn Co-Response,2,11,SPMA and SPOG,,,,,,,,
Special Operations,Parking Enforcement Services,These civilian units enforce parking ordinances. ,12726137,Civilian,120,0,Seattle Parking Enforcement Officers Guild (SPEOG) and Local 17,,,,,,,,
Professional Standards,Education and Training,"These administrative units are responsible for planning, administration and implementation of all departmental training programs, including the classroom and field training of student officers.",13238508,Civilian/Sworn Co-Response,5,47,"SPMA, SPOG, Local 17, and Public Service & Industrial Employees, Local 1239 (PSIE Local 1239)",,,,,,,,
Patrol Operations,Precinct-Based Proactive Response Services,"This unit includes sworn Bike Squads, Anti-Crime Team and Community Police Team officers in all precincts who, together with other specialty units and/or community partners, work to address chronic crime problems or ""hot spots"" using a variety of approaches. These officers engage with residents and businesses directly daily by answering questions, becoming a familiar face and being part of the neighborhood. ",17110201,Sworn,0,112,SPOG,,,,,,,,
Chief Operating Officer,Emergency Dispatch and 911 Communications Services,"These are almost entirely civilian units that staff the 911 communications center on a 24/7 basis. Call takers and dispatchers are responsible for receiving incoming communications, triaging calls and dispatching sworn and civilian officers, such as parking enforcement officers, as needed. All Fire calls are received by the Police Communications Center, and then transferred to Seattle Fire Department for review/action.",19554912,Civilian/Sworn Co-Response,140,12,"SPMA, SPOG, Local 17, and Seattle Police Dispatchers' Guild (SPDG) ",,,,,,,,
Department-wide Functions,Costs - Interfund Charges,"This item captures costs allocated by: the Department of Finance and Administrative Services for vehicle capital replacement, vehicle maintenance, fuel, space rent and city finance functions (payroll, citywide accounting, etc.); Seattle IT for consolidated information technology services; the Seattle Department of Human Resources for centralized and targeted services (compensation & classification, labor relations & police exams); and Judgement Claims for payment of legal claims and suits. Also includes budget for technology expenses not covered by the Seattle IT allocation.",57415766,N/A,N/A,N/A,N/A,,,,,,Multiple,Interfund Accounts,
Patrol Operations,Emergency (911) Response Services,"Includes patrol squads in all precincts, on all watches, and their supervisory ranks, who respond to 911-dispatched calls for service, emergencies and observed public safety incidents. ",120329345,Civilian/Sworn Co-Response,15,721,"SPMA, SPOG, and Local 17",,,,,,,,
